@RELATION movies

@ATTRIBUTE director_facebook_likes 	{Low,Average,High}
@ATTRIBUTE highest_actor_rating 	{A,B,C,D,F}}
@ATTRIBUTE genre	{Sci-Fi,Action,Animation,Family,Documentary,Romance,Comedy,Drama,Horror,Thriller}
@ATTRIBUTE content_rating 	{Approved,G,NC-17,PG,PG-13,R,Unrated}
@ATTRIBUTE budget 	{Low,Medium,High}
@ATTRIBUTE imdb_score	{Excellent,Good,Above_Average,Average,Below_Average,Poor,Awful}

@DATA
High,F,Thriller,Unrated,Low,Above_Average
High,F,Thriller,Unrated,Low,Good
High,F,Comedy,Approved,Low,Above_Average
High,C,Thriller,R,High,Average
High,C,Thriller,PG-13,High,Average
High,D,Thriller,R,High,Above_Average
High,D,Drama,PG-13,High,Below_Average
High,C,Thriller,R,High,Above_Average
High,C,Thriller,R,High,Above_Average
High,C,Thriller,R,High,Below_Average
High,D,Sci-Fi,PG,Medium,Above_Average
High,F,Thriller,R,Medium,Average
High,D,Sci-Fi,PG,Medium,Average
High,C,Family,PG,Low,Below_Average
High,D,Romance,PG,Medium,Average
High,D,Thriller,R,Medium,Good
High,D,Comedy,R,Low,Above_Average
High,F,Comedy,R,Low,Average
High,F,Action,PG-13,High,Above_Average
High,D,Comedy,PG-13,High,Poor
High,C,Comedy,R,High,Below_Average
High,F,Romance,PG-13,High,Average
High,F,Sci-Fi,PG-13,High,Average
High,F,Action,PG-13,High,Above_Average
High,C,Comedy,R,Medium,Average
High,D,Comedy,PG-13,Medium,Average
High,F,Comedy,R,Medium,Average
High,F,Comedy,R,Medium,Above_Average
High,D,Comedy,R,Medium,Above_Average
High,F,Comedy,R,Medium,Average
High,D,Romance,R,Low,Below_Average
High,F,Drama,PG-13,Medium,Above_Average
High,D,Comedy,PG,Medium,Average
High,D,Comedy,R,Medium,Average
High,F,Comedy,PG,Medium,Above_Average
High,D,Comedy,PG-13,Medium,Average
High,F,Comedy,R,Medium,Above_Average
High,D,Comedy,PG,Medium,Average
High,F,Comedy,PG-13,Medium,Above_Average
High,D,Comedy,R,Medium,Average
High,D,Romance,PG,Medium,Good
High,F,Action,R,Medium,Poor
High,F,Comedy,R,Medium,Average
High,D,Comedy,R,Low,Above_Average
High,D,Comedy,PG,Low,Good
High,D,Sci-Fi,PG,Low,Above_Average
High,D,Comedy,R,Low,Average
High,D,Comedy,PG,Low,Above_Average
High,C,Sci-Fi,PG-13,High,Above_Average
High,C,Sci-Fi,PG-13,High,Above_Average
High,C,Family,PG,High,Average
High,C,Family,PG,Medium,Average
High,F,Thriller,R,Low,Average
High,D,Comedy,R,High,Average
High,D,Romance,R,High,Above_Average
High,D,Action,R,High,Average
High,F,Drama,PG-13,Low,Above_Average
High,D,Thriller,PG-13,High,Average
High,D,Thriller,PG-13,High,Average
High,F,Family,PG,High,Average
High,B,Thriller,PG-13,High,Above_Average
High,F,Drama,PG-13,High,Good
High,F,Drama,PG-13,High,Good
High,F,Thriller,R,High,Average
High,C,Comedy,PG-13,High,Below_Average
High,D,Drama,PG,High,Above_Average
High,D,Comedy,PG-13,High,Average
High,F,Drama,R,High,Above_Average
High,D,Romance,PG,Low,Average
High,F,Horror,R,Low,Good
High,F,Drama,R,Low,Below_Average
High,C,Sci-Fi,PG-13,High,Above_Average
High,D,Sci-Fi,PG-13,High,Below_Average
High,D,Romance,PG-13,High,Above_Average
High,F,Romance,PG-13,High,Above_Average
High,B,Comedy,R,High,Above_Average
High,D,Action,PG-13,High,Above_Average
High,B,Thriller,R,High,Average
High,F,Thriller,R,Medium,Good
High,D,Sci-Fi,R,Medium,Good
High,C,Comedy,R,Medium,Above_Average
High,B,Romance,PG-13,Medium,Average
High,F,Drama,R,Low,Above_Average
High,F,Comedy,R,Low,Above_Average
High,F,Romance,PG-13,Low,Average
High,F,Drama,Unrated,Low,Above_Average
High,F,Action,Approved,Low,Above_Average
High,F,Documentary,R,Low,Above_Average
High,F,Drama,R,Low,Below_Average
High,F,Comedy,Unrated,Low,Average
High,F,Family,PG,Low,Good
High,F,Comedy,Approved,Low,Above_Average
High,F,Comedy,Approved,Low,Good
High,F,Comedy,Unrated,Low,Good
High,F,Comedy,Unrated,Low,Good
High,C,Comedy,PG-13,Medium,Average
High,D,Drama,R,Medium,Average
High,F,Documentary,PG-13,Low,Good
High,F,Documentary,R,Low,Above_Average
High,F,Documentary,R,Low,Above_Average
High,F,Sci-Fi,PG,High,Average
High,F,Sci-Fi,PG-13,High,Above_Average
High,F,Sci-Fi,PG,Medium,Below_Average
High,A,Sci-Fi,PG-13,High,Above_Average
High,F,Horror,R,Medium,Awful
High,D,Sci-Fi,PG,Medium,Good
High,F,Drama,R,Medium,Good
High,F,Drama,R,Low,Good
High,F,Thriller,R,Medium,Average
High,D,Thriller,R,High,Average
High,C,Thriller,R,High,Average
High,F,Thriller,R,High,Above_Average
High,C,Thriller,R,High,Above_Average
High,C,Thriller,R,High,Above_Average
High,D,Drama,R,Medium,Above_Average
High,F,Thriller,R,Medium,Average
High,F,Drama,PG-13,High,Above_Average
High,D,Drama,R,Medium,Above_Average
High,F,Comedy,R,Medium,Average
High,D,Drama,R,Medium,Average
High,A,Drama,R,Low,Good
High,C,Drama,R,Low,Above_Average
High,F,Drama,Unrated,Low,Below_Average
High,F,Comedy,R,Low,Above_Average
High,F,Romance,R,Low,Average
High,C,Thriller,R,High,Good
High,F,Thriller,R,Medium,Above_Average
High,F,Sci-Fi,PG-13,High,Below_Average
High,F,Sci-Fi,PG-13,High,Below_Average
High,C,Thriller,PG-13,High,Average
High,D,Sci-Fi,PG-13,High,Average
High,D,Action,R,High,Above_Average
High,D,Sci-Fi,PG-13,High,Average
High,B,Drama,R,Medium,Poor
High,F,Action,PG-13,Low,Good
High,D,Family,PG,High,Below_Average
High,D,Romance,R,High,Average
High,F,Horror,R,Medium,Average
High,C,Sci-Fi,PG-13,Medium,Average
High,D,Horror,R,High,Below_Average
High,F,Action,PG-13,High,Average
High,D,Comedy,R,Medium,Average
High,F,Action,PG-13,Medium,Above_Average
High,A,Animation,PG,High,Average
High,D,Comedy,PG-13,Medium,Below_Average
High,A,Comedy,PG-13,High,Average
High,F,Comedy,R,High,Above_Average
High,A,Drama,R,High,Above_Average
High,D,Comedy,PG-13,Medium,Poor
High,F,Comedy,R,Medium,Average
High,A,Comedy,R,Medium,Above_Average
High,C,Drama,R,Medium,Above_Average
High,F,Comedy,R,Low,Average
High,F,Comedy,R,Medium,Above_Average
High,D,Comedy,R,Medium,Above_Average
High,F,Comedy,R,Medium,Above_Average
High,F,Comedy,R,Medium,Above_Average
High,F,Comedy,R,Low,Above_Average
High,F,Sci-Fi,R,High,Above_Average
High,F,Sci-Fi,R,High,Above_Average
High,F,Horror,R,High,Below_Average
High,F,Sci-Fi,R,High,Above_Average
High,F,Horror,R,Medium,Poor
High,D,Romance,PG-13,High,Below_Average
High,F,Comedy,R,Medium,Average
High,F,Comedy,R,Low,Average
High,F,Comedy,G,Medium,Average
High,C,Horror,R,High,Below_Average
High,D,Horror,PG-13,Medium,Poor
High,D,Horror,PG-13,Medium,Poor
High,F,Sci-Fi,PG-13,High,Above_Average
High,C,Thriller,PG-13,High,Above_Average
High,F,Thriller,PG-13,High,Average
High,F,Comedy,Unrated,Low,Average
High,F,Romance,R,Low,Above_Average
High,C,Comedy,R,Low,Average
High,F,Action,Approved,Low,Good
High,F,Comedy,Unrated,Low,Average
High,F,Action,Unrated,Low,Above_Average
High,F,Family,Approved,Low,Above_Average
High,F,Thriller,R,High,Average
High,F,Drama,R,Low,Below_Average
High,F,Family,PG,High,Average
High,F,Animation,G,High,Good
High,D,Thriller,PG-13,High,Above_Average
High,F,Animation,PG,High,Good
High,D,Animation,PG,High,Good
High,D,Sci-Fi,R,High,Average
High,C,Sci-Fi,R,High,Average
High,B,Romance,R,Medium,Above_Average
High,B,Drama,PG-13,Medium,Average
High,D,Comedy,R,Medium,Average
High,B,Comedy,R,Low,Above_Average
High,B,Comedy,PG-13,Low,Above_Average
High,B,Comedy,PG-13,Low,Above_Average
High,F,Comedy,PG-13,Medium,Below_Average
High,F,Family,PG,Medium,Average
High,F,Thriller,R,High,Below_Average
High,F,Comedy,R,Medium,Above_Average
High,F,Comedy,R,Low,Above_Average
High,F,Comedy,R,Low,Average
High,B,Romance,PG-13,High,Below_Average
High,F,Thriller,PG,High,Average
High,F,Romance,PG,High,Above_Average
High,F,Comedy,R,Medium,Average
High,D,Thriller,PG-13,High,Average
High,D,Action,R,High,Average
High,D,Sci-Fi,R,High,Above_Average
High,F,Thriller,R,High,Average
High,F,Sci-Fi,PG-13,High,Average
High,F,Action,PG-13,High,Above_Average
High,F,Sci-Fi,PG,High,Good
High,A,Comedy,PG,Medium,Good
High,D,Thriller,R,Medium,Above_Average
High,F,Thriller,R,High,Average
High,F,Thriller,R,High,Below_Average
High,F,Thriller,PG,Medium,Above_Average
High,F,Thriller,R,Low,Above_Average
High,F,Horror,R,Low,Good
High,D,Thriller,R,Low,Average
High,F,Thriller,R,Low,Above_Average
High,F,Romance,Approved,Low,Above_Average
High,D,Drama,PG,Low,Good
High,D,Romance,Unrated,Low,Good
High,F,Comedy,PG,Medium,Average
High,D,Romance,R,High,Below_Average
High,F,Thriller,R,Low,Average
High,F,Thriller,R,Low,Average
High,F,Drama,R,Low,Average
High,F,Drama,PG-13,Low,Above_Average
High,F,Romance,PG,Low,Average
High,F,Drama,PG,Low,Average
High,D,Sci-Fi,PG-13,High,Good
High,F,Comedy,R,Low,Average
High,A,Romance,PG-13,High,Above_Average
High,A,Romance,PG-13,High,Above_Average
High,A,Action,PG-13,High,Average
High,A,Animation,PG,High,Above_Average
High,A,Romance,PG-13,High,Good
High,B,Comedy,R,Medium,Average
High,D,Comedy,R,Medium,Average
High,F,Action,R,Medium,Below_Average
High,D,Thriller,PG-13,High,Above_Average
High,F,Drama,PG-13,Low,Awful
High,F,Horror,R,Low,Poor
High,F,Horror,PG-13,High,Below_Average
High,B,Sci-Fi,R,High,Average
High,F,Comedy,PG-13,High,Average
High,D,Comedy,PG,High,Above_Average
High,F,Comedy,PG-13,High,Average
High,F,Sci-Fi,PG-13,Medium,Below_Average
High,D,Family,PG,Medium,Above_Average
High,F,Action,PG-13,High,Awful
High,F,Romance,PG-13,High,Below_Average
High,D,Thriller,PG-13,High,Below_Average
High,F,Thriller,PG-13,High,Average
High,C,Thriller,R,High,Above_Average
High,D,Thriller,R,Medium,Average
High,C,Comedy,R,Medium,Average
High,D,Horror,R,Medium,Average
High,F,Thriller,R,Medium,Above_Average
High,F,Action,R,Low,Good
High,F,Action,R,Low,Above_Average
High,F,Action,Approved,Low,Average
High,F,Action,R,Low,Above_Average
High,F,Thriller,PG-13,Medium,Poor
High,F,Romance,PG-13,High,Below_Average
High,D,Sci-Fi,PG-13,High,Below_Average
High,D,Drama,PG-13,High,Average
High,D,Thriller,PG-13,High,Average
High,F,Thriller,R,High,Above_Average
High,F,Thriller,R,High,Above_Average
High,F,Thriller,R,Low,Average
High,D,Action,PG-13,Low,Poor
High,C,Drama,R,High,Average
High,D,Drama,PG-13,Medium,Above_Average
High,F,Thriller,PG-13,Medium,Average
High,C,Action,PG-13,Medium,Average
High,F,Comedy,R,Medium,Average
High,F,Comedy,PG,Medium,Above_Average
High,F,Family,G,Medium,Good
High,A,Romance,PG-13,Low,Above_Average
High,F,Comedy,R,Low,Average
High,D,Thriller,PG-13,High,Good
High,D,Thriller,PG-13,High,Above_Average
High,D,Romance,R,High,Below_Average
High,D,Thriller,PG-13,High,Above_Average
High,D,Thriller,R,High,Average
High,D,Romance,PG,Medium,Above_Average
High,F,Thriller,R,Medium,Above_Average
High,D,Comedy,PG,Medium,Above_Average
High,D,Drama,R,Low,Below_Average
High,D,Action,R,High,Average
High,A,Sci-Fi,PG-13,High,Average
High,D,Horror,PG-13,High,Above_Average
High,A,Sci-Fi,PG-13,High,Above_Average
High,A,Sci-Fi,PG-13,High,Average
High,C,Romance,PG-13,High,Average
High,F,Thriller,R,High,Average
High,D,Thriller,R,High,Average
High,C,Sci-Fi,PG-13,High,Below_Average
High,D,Sci-Fi,PG,High,Above_Average
High,F,Thriller,R,High,Average
High,F,Drama,PG-13,High,Average
High,D,Romance,PG-13,Medium,Above_Average
High,F,Romance,PG-13,Medium,Above_Average
High,D,Comedy,PG-13,Low,Average
High,D,Sci-Fi,R,High,Average
High,C,Comedy,R,High,Above_Average
High,F,Comedy,PG-13,High,Average
High,D,Comedy,R,High,Above_Average
High,D,Comedy,PG-13,High,Below_Average
High,D,Comedy,PG-13,High,Below_Average
High,F,Animation,G,High,Average
High,D,Animation,G,High,Above_Average
High,F,Animation,G,High,Above_Average
High,F,Sci-Fi,PG-13,High,Below_Average
High,C,Animation,G,High,Above_Average
High,D,Thriller,R,High,Above_Average
High,F,Sci-Fi,PG-13,High,Above_Average
High,C,Sci-Fi,PG-13,High,Average
High,D,Animation,G,Medium,Good
High,D,Comedy,R,High,Average
High,C,Comedy,R,High,Average
High,F,Comedy,PG-13,High,Average
High,D,Comedy,R,High,Above_Average
High,D,Comedy,R,Medium,Above_Average
High,F,Comedy,PG-13,Medium,Below_Average
High,F,Comedy,R,Medium,Average
High,F,Sci-Fi,PG-13,High,Average
High,F,Animation,G,High,Good
High,F,Animation,G,High,Good
High,F,Horror,PG-13,Low,Poor
High,D,Romance,PG-13,High,Below_Average
High,F,Sci-Fi,PG-13,High,Below_Average
High,D,Comedy,PG-13,High,Below_Average
High,F,Sci-Fi,PG-13,High,Below_Average
High,B,Thriller,PG-13,High,Above_Average
High,C,Thriller,R,High,Above_Average
High,D,Thriller,R,High,Average
High,F,Drama,R,Medium,Above_Average
High,C,Horror,R,Medium,Below_Average
High,F,Sci-Fi,PG-13,High,Below_Average
High,F,Thriller,R,Low,Average
High,F,Comedy,R,Low,Above_Average
High,F,Romance,R,Medium,Average
High,F,Action,PG-13,Medium,Average
High,F,Thriller,PG-13,High,Below_Average
High,F,Romance,R,Medium,Average
High,F,Comedy,R,Low,Above_Average
High,D,Romance,PG-13,High,Above_Average
High,D,Sci-Fi,PG-13,High,Average
High,C,Comedy,PG-13,Low,Above_Average
High,D,Thriller,R,Low,Average
High,C,Family,PG,High,Below_Average
High,C,Family,PG,High,Below_Average
High,F,Romance,R,High,Poor
High,F,Thriller,PG-13,Medium,Average
High,C,Family,PG,High,Below_Average
High,F,Thriller,R,High,Below_Average
High,C,Thriller,R,Medium,Average
High,D,Thriller,R,Low,Above_Average
High,B,Thriller,R,Low,Above_Average
High,F,Thriller,R,High,Below_Average
High,D,Sci-Fi,PG-13,High,Average
High,D,Action,R,High,Above_Average
High,D,Comedy,R,Low,Above_Average
High,F,Horror,PG-13,Medium,Above_Average
High,D,Comedy,PG-13,High,Average
High,C,Sci-Fi,PG-13,High,Average
High,C,Romance,PG-13,High,Average
High,C,Action,R,High,Above_Average
High,F,Romance,PG-13,Medium,Above_Average
High,F,Thriller,R,Medium,Above_Average
High,D,Drama,R,Medium,Above_Average
High,C,Thriller,R,Low,Average
High,C,Sci-Fi,R,High,Average
High,F,Horror,R,High,Below_Average
High,D,Horror,R,Medium,Good
High,C,Drama,PG-13,Medium,Above_Average
High,C,Thriller,R,High,Average
High,C,Thriller,PG-13,High,Poor
High,F,Thriller,R,High,Good
High,F,Comedy,R,Low,Below_Average
High,F,Comedy,R,Low,Below_Average
High,F,Family,PG,Low,Below_Average
High,F,Family,PG,Low,Average
High,D,Comedy,PG-13,High,Below_Average
High,F,Comedy,PG,High,Below_Average
High,F,Sci-Fi,PG-13,Medium,Below_Average
High,F,Comedy,PG-13,Medium,Average
High,C,Comedy,R,Medium,Average
High,F,Drama,R,Medium,Average
High,F,Comedy,PG,Medium,Average
High,D,Comedy,R,Low,Average
High,F,Comedy,PG-13,High,Below_Average
High,A,Comedy,R,Medium,Average
High,F,Horror,R,Low,Below_Average
High,F,Comedy,R,Low,Above_Average
High,F,Horror,R,Low,Average
High,F,Thriller,PG-13,High,Average
High,D,Action,PG-13,High,Average
High,F,Thriller,PG-13,High,Average
High,F,Comedy,PG-13,High,Average
High,D,Action,PG-13,High,Average
High,D,Romance,PG-13,High,Average
High,F,Comedy,PG-13,High,Average
High,F,Thriller,R,Medium,Average
High,F,Thriller,R,High,Average
High,F,Comedy,PG-13,High,Average
High,C,Thriller,PG-13,High,Above_Average
High,A,Romance,PG-13,Medium,Above_Average
High,F,Drama,PG-13,Medium,Above_Average
High,F,Thriller,R,Low,Above_Average
High,F,Romance,PG-13,Low,Average
High,D,Drama,R,Low,Above_Average
High,F,Action,R,Low,Below_Average
High,F,Animation,R,Medium,Above_Average
High,F,Comedy,R,Medium,Above_Average
High,D,Animation,PG-13,Medium,Average
High,F,Comedy,R,Low,Above_Average
High,B,Comedy,R,Low,Average
High,F,Sci-Fi,NC-17,Low,Average
High,C,Horror,PG-13,High,Above_Average
High,D,Romance,PG-13,High,Above_Average
High,C,Drama,R,Medium,Average
High,A,Family,PG,Medium,Above_Average
High,F,Drama,PG-13,Medium,Above_Average
High,D,Romance,R,Low,Above_Average
High,F,Drama,R,Low,Average
High,D,Horror,R,High,Below_Average
High,D,Sci-Fi,PG-13,High,Average
High,F,Sci-Fi,PG-13,High,Below_Average
High,B,Action,PG-13,High,Average
High,F,Horror,PG-13,High,Poor
High,D,Thriller,R,High,Below_Average
High,F,Drama,R,Medium,Average
High,F,Action,R,Low,Above_Average
High,F,Action,Approved,Low,Above_Average
High,F,Comedy,R,Low,Average
High,D,Comedy,PG-13,Low,Below_Average
High,F,Comedy,R,Low,Above_Average
High,C,Romance,PG-13,High,Below_Average
High,C,Romance,PG-13,High,Below_Average
High,F,Drama,PG-13,High,Average
High,C,Thriller,R,Medium,Average
High,D,Drama,R,Low,Above_Average
High,F,Drama,R,Low,Above_Average
High,B,Thriller,PG-13,High,Average
High,D,Animation,PG,High,Average
High,F,Animation,G,High,Above_Average
High,F,Animation,G,Medium,Above_Average
High,D,Action,R,High,Above_Average
High,C,Thriller,R,High,Average
High,C,Thriller,R,High,Average
High,D,Action,R,Medium,Above_Average
High,D,Comedy,R,Medium,Average
High,C,Action,R,Medium,Above_Average
High,C,Action,R,Medium,Above_Average
High,F,Sci-Fi,PG,Medium,Awful
High,D,Drama,PG-13,High,Above_Average
High,A,Sci-Fi,PG-13,High,Above_Average
High,D,Action,R,High,Average
High,F,Comedy,PG-13,Medium,Average
High,F,Comedy,PG-13,Low,Above_Average
High,F,Comedy,R,Low,Above_Average
High,F,Comedy,R,Low,Above_Average
High,F,Comedy,R,Medium,Poor
High,F,Drama,R,Medium,Above_Average
High,C,Sci-Fi,PG-13,High,Average
High,F,Comedy,PG-13,High,Poor
High,D,Thriller,PG-13,High,Below_Average
High,B,Comedy,PG-13,High,Average
High,D,Drama,PG,High,Above_Average
High,F,Thriller,PG-13,Medium,Average
High,F,Sci-Fi,PG-13,High,Above_Average
High,F,Horror,PG,Low,Above_Average
High,F,Horror,PG,Medium,Below_Average
High,F,Horror,PG,Low,Above_Average
High,F,Horror,R,Low,Above_Average
High,F,Horror,NC-17,Low,Below_Average
High,F,Comedy,R,Low,Above_Average
High,F,Horror,Unrated,Low,Average
High,F,Horror,R,Low,Above_Average
High,D,Sci-Fi,PG,High,Average
High,D,Sci-Fi,PG-13,High,Above_Average
High,D,Sci-Fi,PG,High,Average
High,C,Comedy,PG,Low,Below_Average
High,F,Horror,PG-13,High,Below_Average
High,C,Thriller,PG-13,High,Average
High,F,Sci-Fi,PG-13,High,Below_Average
High,C,Thriller,PG-13,High,Average
High,D,Thriller,PG-13,High,Below_Average
High,D,Thriller,PG-13,High,Below_Average
High,F,Romance,PG-13,High,Average
High,C,Thriller,PG-13,High,Average
High,F,Thriller,PG-13,High,Below_Average
High,C,Thriller,PG-13,Medium,Below_Average
High,F,Thriller,R,Low,Poor
High,F,Action,Unrated,Low,Good
High,D,Horror,R,High,Below_Average
High,C,Romance,R,Medium,Above_Average
High,C,Romance,R,Medium,Above_Average
High,F,Drama,Approved,Low,Average
High,F,Action,Approved,Low,Above_Average
High,F,Action,PG,Low,Good
High,F,Sci-Fi,R,Medium,Average
High,F,Thriller,PG,Low,Above_Average
High,F,Drama,R,Low,Average
High,D,Sci-Fi,PG,High,Average
High,F,Family,G,Low,Good
High,F,Sci-Fi,G,Low,Above_Average
High,D,Drama,PG-13,Low,Above_Average
High,F,Thriller,R,Low,Above_Average
High,D,Thriller,R,High,Average
High,F,Horror,R,High,Below_Average
High,D,Drama,PG-13,High,Average
High,D,Romance,R,Medium,Above_Average
High,D,Romance,PG-13,Medium,Above_Average
High,D,Drama,PG-13,High,Average
High,D,Drama,PG-13,High,Average
High,C,Action,R,High,Above_Average
High,F,Thriller,PG-13,High,Average
High,C,Thriller,R,High,Above_Average
High,D,Action,R,Medium,Above_Average
High,F,Documentary,PG-13,Low,Good
High,C,Horror,R,High,Below_Average
High,F,Action,R,High,Average
High,D,Thriller,R,High,Above_Average
High,F,Romance,PG-13,High,Average
High,F,Sci-Fi,R,High,Awful
High,F,Thriller,R,High,Average
High,F,Romance,PG-13,High,Average
High,F,Thriller,PG,Medium,Above_Average
High,B,Thriller,R,Medium,Good
High,F,Horror,R,Medium,Above_Average
High,F,Comedy,PG-13,High,Poor
High,F,Comedy,R,High,Below_Average
High,F,Comedy,PG-13,High,Below_Average
High,F,Comedy,R,Low,Below_Average
High,F,Drama,PG,High,Average
High,C,Thriller,R,High,Above_Average
High,F,Drama,R,Medium,Above_Average
High,F,Drama,R,Medium,Good
High,A,Thriller,R,Medium,Above_Average
High,A,Romance,R,Low,Above_Average
High,C,Comedy,R,Low,Above_Average
High,C,Thriller,PG-13,High,Below_Average
High,F,Thriller,PG-13,High,Below_Average
High,F,Thriller,R,High,Average
High,F,Thriller,R,Medium,Average
High,F,Romance,R,Medium,Below_Average
High,F,Drama,R,Low,Above_Average
High,F,Family,Unrated,Low,Average
High,D,Horror,PG-13,High,Below_Average
High,C,Romance,PG-13,High,Below_Average
High,F,Family,PG,Medium,Average
High,D,Drama,PG-13,Medium,Above_Average
High,C,Romance,PG-13,High,Below_Average
High,F,Drama,R,Low,Average
High,F,Drama,R,Low,Above_Average
High,D,Drama,PG-13,Medium,Above_Average
High,F,Drama,R,Low,Above_Average
High,C,Sci-Fi,PG-13,High,Below_Average
High,F,Horror,R,Medium,Average
High,F,Horror,PG-13,Medium,Average
High,F,Horror,R,Low,Average
High,C,Sci-Fi,PG-13,High,Below_Average
High,F,Drama,PG-13,Medium,Average
High,F,Comedy,R,Low,Average
High,F,Romance,R,Low,Average
High,C,Romance,PG-13,High,Below_Average
High,D,Sci-Fi,PG-13,High,Above_Average
High,D,Sci-Fi,PG-13,High,Average
